,Sterman biomass,SE_LSP trf_linear  biomass,SE_LSP trf_linear (constrained) biomass,SE_LSP trf_soft_l1  biomass,SE_LSP trf_huber (constrained) biomass
109,130.45314543105994,130.46815536113928,130.45401789539687,130.54319092430146,130.50451083765174
110,130.45314544907754,130.46815537303803,130.45401790672815,130.54319093589822,130.50451084899095
111,130.45314546350366,130.46815538253298,130.45401791576603,130.5431909451485,130.50451085803374
112,130.45314547505419,130.46815539010976,130.45401792297469,130.54319095252708,130.50451086524518
113,130.45314548430227,130.46815539615585,130.45401792872434,130.54319095841265,130.50451087099617
114,130.45314549170692,130.4681554009805,130.4540179333103,130.54319096310738,130.50451087558244
115,130.4531454976356,130.46815540483047,130.4540179369681,130.54319096685217,130.50451087923992
116,130.4531455023825,130.46815540790269,130.45401793988555,130.54319096983923,130.5045108821567
117,130.45314550618318,130.46815541035423,130.45401794221254,130.5431909722219,130.50451088448276
118,130.45314550922623,130.4681554123105,130.45401794406857,130.5431909741225,130.50451088633775
119,130.4531455116627,130.46815541387156,130.45401794554894,130.5431909756385,130.50451088781708
120,130.45314551361355,130.46815541511725,130.4540179467297,130.54319097684777,130.5045108889968
121,130.4531455151755,130.4681554161113,130.45401794767147,130.54319097781237,130.50451088993762
122,130.4531455164261,130.46815541690452,130.45401794842266,130.54319097858178,130.50451089068787
123,130.4531455174274,130.4681554175375,130.4540179490218,130.54319097919551,130.5045108912862
124,130.45314551822912,130.4681554180426,130.45401794949964,130.54319097968508,130.50451089176337
125,130.45314551887105,130.4681554184457,130.4540179498808,130.54319098007556,130.50451089214388
126,130.45314551938503,130.46815541876734,130.4540179501848,130.54319098038704,130.50451089244734
127,130.45314551979655,130.468155419024,130.45401795042727,130.54319098063547,130.50451089268935
128,130.45314552012601,130.46815541922882,130.45401795062068,130.54319098083366,130.50451089288234
129,130.45314552038982,130.46815541939222,130.45401795077493,130.54319098099174,130.50451089303624
130,130.45314552060105,130.46815541952265,130.45401795089793,130.54319098111785,130.50451089315897
131,130.45314552077016,130.4681554196267,130.45401795099608,130.54319098121843,130.50451089325685
132,130.4531455209056,130.46815541970975,130.45401795107438,130.54319098129866,130.5045108933349
133,130.453145521014,130.468155419776,130.45401795113682,130.54319098136264,130.50451089339717
134,130.45314552110082,130.4681554198289,130.45401795118664,130.5431909814137,130.5045108934468
135,130.45314552117034,130.4681554198711,130.45401795122635,130.54319098145442,130.5045108934864
136,130.453145521226,130.46815541990478,130.454017951258,130.5431909814869,130.50451089351796
137,130.45314552127056,130.46815541993166,130.45401795128328,130.5431909815128,130.50451089354314
138,130.45314552130623,130.4681554199531,130.45401795130346,130.54319098153346,130.50451089356324
139,130.4531455213348,130.4681554199702,130.4540179513195,130.54319098154994,130.50451089357924
140,130.45314552135764,130.46815541998384,130.4540179513323,130.5431909815631,130.50451089359203
141,130.45314552137597,130.46815541999473,130.45401795134254,130.54319098157356,130.50451089360223
142,130.45314552139064,130.4681554200034,130.4540179513507,130.54319098158194,130.50451089361033
143,130.4531455214024,130.46815542001033,130.45401795135717,130.54319098158862,130.5045108936168
144,130.4531455214118,130.46815542001588,130.45401795136237,130.54319098159397,130.50451089362198
145,130.45314552141932,130.4681554200203,130.4540179513665,130.5431909815982,130.5045108936261
146,130.45314552142534,130.46815542002383,130.4540179513698,130.54319098160158,130.5045108936294
147,130.45314552143014,130.46815542002665,130.45401795137244,130.54319098160428,130.50451089363202
148,130.45314552143398,130.46815542002886,130.45401795137454,130.54319098160644,130.50451089363412
149,130.45314552143708,130.46815542003066,130.45401795137622,130.54319098160815,130.50451089363577
150,130.45314552143955,130.4681554200321,130.45401795137755,130.5431909816095,130.5045108936371
151,130.45314552144154,130.46815542003324,130.45401795137863,130.54319098161062,130.50451089363816
152,130.45314552144313,130.46815542003415,130.45401795137948,130.5431909816115,130.504510893639
153,130.4531455214444,130.4681554200349,130.45401795138017,130.54319098161218,130.5045108936397
154,130.45314552144544,130.4681554200355,130.4540179513807,130.54319098161272,130.5045108936402
155,130.45314552144626,130.46815542003597,130.45401795138113,130.54319098161315,130.50451089364063
156,130.4531455214469,130.46815542003634,130.4540179513815,130.5431909816135,130.50451089364097
157,130.45314552144745,130.46815542003662,130.4540179513818,130.54319098161378,130.50451089364122
158,130.45314552144785,130.46815542003685,130.45401795138199,130.543190981614,130.50451089364142
159,130.4531455214482,130.46815542003702,130.45401795138213,130.54319098161417,130.5045108936416
160,130.45314552144845,130.46815542003716,130.45401795138227,130.54319098161434,130.50451089364174
161,130.45314552144868,130.46815542003728,130.45401795138238,130.54319098161446,130.50451089364185
162,130.45314552144885,130.4681554200374,130.45401795138247,130.54319098161454,130.50451089364194
163,130.453145521449,130.46815542003748,130.45401795138255,130.54319098161463,130.504510893642
164,130.4531455214491,130.4681554200375,130.4540179513826,130.54319098161469,130.50451089364205
165,130.4531455214492,130.46815542003753,130.45401795138267,130.54319098161474,130.50451089364208
166,130.45314552144927,130.46815542003756,130.4540179513827,130.5431909816148,130.5045108936421
167,130.45314552144933,130.4681554200376,130.45401795138272,130.54319098161483,130.50451089364213
168,130.4531455214494,130.46815542003762,130.45401795138275,130.54319098161486,130.50451089364216
169,130.45314552144941,130.46815542003765,130.45401795138275,130.54319098161486,130.5045108936422
170,130.45314552144944,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
171,130.45314552144947,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
172,130.4531455214495,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
173,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
174,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
