,Sterman soil,SC_OH trf_linear  soil,SC_OH trf_linear (constrained) soil,SC_OH trf_soft_l1 (constrained) soil,SC_OH trf_huber (constrained) soil,SC_OH dogbox_huber (constrained) soil
2286,174.86417207411682,334.6282289390036,173.96184520349553,176.24227890858293,170.27514245578632,170.49995629216662
2287,174.86417226522602,334.6485435903403,173.9618474879126,176.24229451164447,170.2751665510224,170.4999804572068
2288,174.8641724549957,334.6688311834081,173.96184975920022,176.24231004007768,170.27519053732178,170.5000045129999
2289,174.8641726434353,334.6890917542475,173.96185201743387,176.24232549423954,170.27521441517695,170.50002846003989
2290,174.8641728305541,334.709325338851,173.96185426268858,176.24234087448525,170.2752381850782,170.50005229881842
2291,174.8641730163614,334.7295319731631,173.96185649503894,176.24235618116836,170.27526184751358,170.5000760298249
2292,174.86417320086642,334.7497116930804,173.96185871455913,176.2423714146407,170.275285402969,170.50009965354656
2293,174.86417338407819,334.7698645344519,173.96186092132288,176.24238657525245,170.2753088519281,170.50012317046836
2294,174.86417356600586,334.78999053307865,173.9618631154035,176.2424016633521,170.27533219487233,170.5001465810732
2295,174.8641737466584,334.81008972471403,173.9618652968739,176.24241667928644,170.27535543228103,170.50016988584176
2296,174.8641739260447,334.83016214506387,173.96186746580653,176.24243162340065,170.27537856463135,170.50019308525245
2297,174.86417410417374,334.85020782978637,173.96186962227347,176.24244649603824,170.27540159239823,170.50021617978157
2298,174.8641742810543,334.8702268144923,173.96187176634635,176.2424612975411,170.27542451605453,170.50023916990332
2299,174.86417445669505,334.89021913474494,173.96187389809643,176.24247602824943,170.27544733607093,170.50026205608967
2300,174.86417463110473,334.91018482606023,173.9618760175945,176.24249068850185,170.27547005291598,170.50028483881053
2301,174.86417480429202,334.9301239239069,173.961878124911,176.24250527863535,170.27549266705614,170.50030751853365
2302,174.86417497626545,334.9500364637062,173.96188022011594,176.24251979898528,170.27551517895577,170.50033009572462
2303,174.86417514703348,334.96992248083245,173.96188230327894,176.24253424988544,170.2755375890771,170.500352570847
2304,174.8641753166046,334.9897820106127,173.96188437446918,176.24254863166797,170.27555989788024,170.5003749443623
2305,174.86417548498721,335.009615088327,173.9618864337555,176.2425629446635,170.2755821058233,170.5003972167298
2306,174.8641756521896,335.0294217492084,173.9618884812063,176.242577189201,170.27560421336227,170.50041938840678
2307,174.8641758182201,335.049202028443,173.9618905168896,176.24259136560792,170.27562622095107,170.50044145984845
2308,174.86417598308688,335.06895596117005,173.96189254087307,176.2426054742101,170.2756481290416,170.50046343150797
2309,174.86417614679812,335.088683582482,173.9618945532239,176.24261951533185,170.2756699380837,170.50048530383646
2310,174.8641763093619,335.10838492742465,173.961896554009,176.24263348929594,170.27569164852517,170.50050707728295
2311,174.86417647078628,335.12806003099695,173.96189854329478,176.24264739642356,170.27571326081178,170.50052875229454
2312,174.86417663107926,335.1477089281513,173.96190052114738,176.2426612370344,170.27573477538732,170.50055032931616
2313,174.86417679024873,335.16733165379355,173.9619024876325,176.2426750114466,170.27575619269354,170.50057180879085
2314,174.8641769483026,335.1869282427831,173.96190444281547,176.2426887199768,170.2757775131702,170.50059319115962
2315,174.86417710524867,335.2064987299329,173.96190638676123,176.24270236294007,170.2757987372551,170.50061447686141
2316,174.86417726109468,335.22604315000945,173.9619083195344,176.24271594065004,170.275819865384,170.5006356663333
2317,174.86417741584836,335.24556153773307,173.96191024119915,176.2427294534188,170.27584089799072,170.50065676001034
2318,174.8641775695174,335.2650539277777,173.96191215181938,176.24274290155697,170.27586183550716,170.5006777583256
2319,174.86417772210936,335.28452035477125,173.9619140514585,176.24275628537367,170.27588267836322,170.50069866171012
2320,174.8641778736318,335.30396085329534,173.9619159401797,176.24276960517653,170.27590342698687,170.50071947059317
2321,174.8641780240922,335.3233754578856,173.96191781804566,176.24278286127173,170.27592408180413,170.50074018540195
2322,174.8641781734981,335.3427642030318,173.9619196851188,176.242796053964,170.27594464323911,170.50076080656174
2323,174.86417832185677,335.3621271231775,173.96192154146115,176.2428091835566,170.27596511171402,170.50078133449588
2324,174.86417846917558,335.3814642527206,173.9619233871344,176.24282225035128,170.2759854876491,170.50080176962592
2325,174.86417861546184,335.4007756260131,173.96192522219982,176.24283525464844,170.2760057714628,170.50082211237134
2326,174.86417876072278,335.42006127736124,173.96192704671844,176.242848196747,170.27602596357153,170.50084236314981
2327,174.8641789049656,335.4393212410256,173.96192886075085,176.2428610769444,170.27604606438993,170.50086252237716
2328,174.8641790481974,335.4585555512211,173.96193066435728,176.24287389553675,170.27606607433074,170.50088259046723
2329,174.86417919042532,335.477764242117,173.9619324575977,176.2428866528187,170.27608599380483,170.50090256783204
2330,174.86417933165637,335.49694734783725,173.9619342405317,176.2428993490835,170.2761058232212,170.50092245488173
2331,174.86417947189753,335.5161049024602,173.96193601321846,176.242911984623,170.276125562987,170.50094225202463
