,Sterman soil,SC_OP trf_linear  soil,SC_OP trf_linear (constrained) soil,SC_OP trf_soft_l1 (constrained) soil,SC_OP trf_huber (constrained) soil,SC_OP trf_cauchy (constrained) soil
9035,172.11532562961065,397.74139815571056,188.07879549020635,190.056109658053,194.43628587830182,198.6200188112274
9036,172.11532562961065,397.7414727389431,188.07879549020635,190.05610965805306,194.43628587830207,198.620018811245
9037,172.11532562961065,397.74154725283387,188.07879549020635,190.05610965805312,194.43628587830233,198.62001881126255
9038,172.11532562961065,397.7416216974472,188.07879549020635,190.05610965805317,194.43628587830258,198.62001881128006
9039,172.11532562961065,397.7416960728476,188.07879549020635,190.05610965805323,194.43628587830284,198.62001881129754
9040,172.11532562961065,397.7417703790994,188.07879549020635,190.0561096580533,194.4362858783031,198.62001881131496
9041,172.11532562961065,397.7418446162669,188.07879549020635,190.05610965805334,194.43628587830335,198.62001881133233
9042,172.11532562961065,397.74191878441434,188.07879549020635,190.0561096580534,194.4362858783036,198.62001881134967
9043,172.11532562961065,397.74199288360586,188.07879549020635,190.05610965805346,194.43628587830386,198.62001881136695
9044,172.11532562961065,397.74206691390555,188.07879549020635,190.05610965805351,194.43628587830412,198.62001881138417
9045,172.11532562961065,397.7421408753775,188.07879549020635,190.05610965805357,194.43628587830437,198.62001881140137
9046,172.11532562961065,397.7422147680857,188.07879549020635,190.05610965805363,194.43628587830463,198.6200188114185
9047,172.11532562961065,397.7422885920941,188.07879549020635,190.05610965805369,194.4362858783049,198.6200188114356
9048,172.11532562961065,397.7423623474665,188.07879549020635,190.05610965805374,194.43628587830514,198.62001881145267
9049,172.11532562961065,397.74243603426675,188.07879549020635,190.0561096580538,194.4362858783054,198.62001881146966
9050,172.11532562961065,397.7425096525586,188.07879549020635,190.05610965805386,194.43628587830565,198.62001881148663
9051,172.11532562961065,397.7425832024058,188.07879549020635,190.0561096580539,194.4362858783059,198.62001881150354
9052,172.11532562961065,397.74265668387187,188.07879549020635,190.05610965805397,194.43628587830617,198.62001881152042
9053,172.11532562961065,397.74273009702046,188.07879549020635,190.05610965805403,194.43628587830642,198.62001881153725
9054,172.11532562961065,397.7428034419151,188.07879549020635,190.05610965805408,194.43628587830668,198.62001881155405
9055,172.11532562961065,397.7428767186192,188.07879549020635,190.05610965805414,194.43628587830693,198.6200188115708
9056,172.11532562961065,397.7429499271962,188.07879549020635,190.0561096580542,194.4362858783072,198.62001881158747
9057,172.11532562961065,397.74302306770943,188.07879549020635,190.05610965805425,194.43628587830744,198.62001881160413
9058,172.11532562961065,397.7430961402222,188.07879549020635,190.0561096580543,194.4362858783077,198.62001881162072
9059,172.11532562961065,397.7431691447976,188.07879549020635,190.05610965805437,194.43628587830796,198.6200188116373
