,Sterman soil,NE_OP trf_linear  soil,NE_OP trf_linear (constrained) soil,NE_OP trf_soft_l1  soil,NE_OP trf_soft_l1 (constrained) soil,NE_OP trf_huber  soil,NE_OP trf_huber (constrained) soil,NE_OP dogbox_huber (constrained) soil
4157,198.14446381397295,220.38428114829873,199.50797247756452,249.7624903560179,205.39932947296379,251.48014271748042,206.149254860501,203.7871363384496
4158,198.14446381397295,220.38428114830094,199.50797247756452,249.76249037809308,205.39932947296379,251.48014274977268,206.149254860501,203.7871363384496
4159,198.14446381397295,220.38428114830313,199.50797247756452,249.76249040007562,205.39932947296379,251.48014278193256,206.149254860501,203.7871363384496
4160,198.14446381397295,220.38428114830532,199.50797247756452,249.7624904219659,205.39932947296379,251.48014281396058,206.149254860501,203.7871363384496
4161,198.14446381397295,220.38428114830748,199.50797247756452,249.76249044376436,205.39932947296379,251.4801428458573,206.149254860501,203.7871363384496
4162,198.14446381397295,220.38428114830964,199.50797247756452,249.76249046547136,205.39932947296379,251.48014287762325,206.149254860501,203.7871363384496
4163,198.14446381397295,220.38428114831177,199.50797247756452,249.76249048708726,205.39932947296379,251.48014290925894,206.149254860501,203.7871363384496
4164,198.14446381397295,220.3842811483139,199.50797247756452,249.76249050861247,205.39932947296379,251.48014294076495,206.149254860501,203.7871363384496
4165,198.14446381397295,220.384281148316,199.50797247756452,249.76249053004736,205.39932947296379,251.48014297214178,206.149254860501,203.7871363384496
4166,198.14446381397295,220.3842811483181,199.50797247756452,249.7624905513923,205.39932947296379,251.48014300338997,206.149254860501,203.7871363384496
4167,198.14446381397295,220.38428114832018,199.50797247756452,249.76249057264766,205.39932947296379,251.48014303451006,206.149254860501,203.7871363384496
4168,198.14446381397295,220.38428114832226,199.50797247756452,249.76249059381385,205.39932947296379,251.48014306550257,206.149254860501,203.7871363384496
4169,198.14446381397295,220.3842811483243,199.50797247756452,249.76249061489122,205.39932947296379,251.480143096368,206.149254860501,203.7871363384496
4170,198.14446381397295,220.38428114832635,199.50797247756452,249.76249063588014,205.39932947296379,251.4801431271069,206.149254860501,203.7871363384496
4171,198.14446381397295,220.38428114832837,199.50797247756452,249.762490656781,205.39932947296379,251.4801431577198,206.149254860501,203.7871363384496
4172,198.14446381397295,220.3842811483304,199.50797247756452,249.76249067759417,205.39932947296379,251.48014318820717,206.149254860501,203.7871363384496
4173,198.14446381397295,220.38428114833238,199.50797247756452,249.76249069832,205.39932947296379,251.48014321856954,206.149254860501,203.7871363384496
4174,198.14446381397295,220.38428114833437,199.50797247756452,249.76249071895887,205.39932947296379,251.48014324880742,206.149254860501,203.7871363384496
4175,198.14446381397295,220.38428114833633,199.50797247756452,249.76249073951115,205.39932947296379,251.48014327892133,206.149254860501,203.7871363384496
4176,198.14446381397295,220.3842811483383,199.50797247756452,249.76249075997717,205.39932947296379,251.4801433089118,206.149254860501,203.7871363384496
4177,198.14446381397295,220.38428114834022,199.50797247756452,249.76249078035733,205.39932947296379,251.4801433387793,206.149254860501,203.7871363384496
4178,198.14446381397295,220.38428114834215,199.50797247756452,249.76249080065196,205.39932947296379,251.48014336852435,206.149254860501,203.7871363384496
4179,198.14446381397295,220.3842811483441,199.50797247756452,249.76249082086144,205.39932947296379,251.48014339814745,206.149254860501,203.7871363384496
4180,198.14446381397295,220.384281148346,199.50797247756452,249.76249084098612,205.39932947296379,251.4801434276491,206.149254860501,203.7871363384496
4181,198.14446381397295,220.3842811483479,199.50797247756452,249.76249086102635,205.39932947296379,251.4801434570298,206.149254860501,203.7871363384496
4182,198.14446381397295,220.38428114834977,199.50797247756452,249.7624908809825,205.39932947296379,251.48014348629007,206.149254860501,203.7871363384496
4183,198.14446381397295,220.38428114835165,199.50797247756452,249.7624909008549,205.39932947296379,251.48014351543037,206.149254860501,203.7871363384496
4184,198.14446381397295,220.3842811483535,199.50797247756452,249.76249092064396,205.39932947296379,251.48014354445118,206.149254860501,203.7871363384496
4185,198.14446381397295,220.38428114835534,199.50797247756452,249.76249094034995,205.39932947296379,251.48014357335302,206.149254860501,203.7871363384496
4186,198.14446381397295,220.3842811483572,199.50797247756452,249.76249095997326,205.39932947296379,251.48014360213637,206.149254860501,203.7871363384496
4187,198.14446381397295,220.384281148359,199.50797247756452,249.76249097951424,205.39932947296379,251.4801436308017,206.149254860501,203.7871363384496
4188,198.14446381397295,220.38428114836083,199.50797247756452,249.76249099897322,205.39932947296379,251.48014365934952,206.149254860501,203.7871363384496
4189,198.14446381397295,220.38428114836262,199.50797247756452,249.76249101835054,205.39932947296379,251.4801436877803,206.149254860501,203.7871363384496
4190,198.14446381397295,220.3842811483644,199.50797247756452,249.76249103764656,205.39932947296379,251.48014371609452,206.149254860501,203.7871363384496
4191,198.14446381397295,220.38428114836617,199.50797247756452,249.7624910568616,205.39932947296379,251.48014374429266,206.149254860501,203.7871363384496
4192,198.14446381397295,220.38428114836793,199.50797247756452,249.76249107599602,205.39932947296379,251.4801437723752,206.149254860501,203.7871363384496
4193,198.14446381397295,220.3842811483697,199.50797247756452,249.76249109505017,205.39932947296379,251.48014380034257,206.149254860501,203.7871363384496
