,Sterman soil,SE_SLP trf_linear  soil,SE_SLP trf_linear (constrained) soil,SE_SLP trf_huber (constrained) soil,SE_SLP dogbox_linear (constrained) soil
2577,102.92662747052817,103.81647766347281,102.8194941061734,101.1331100607203,102.81950324140617
2578,102.92662747054155,103.81647766883795,102.81949410624995,101.13311006104293,102.81950324148272
2579,102.92662747055479,103.81647767416987,102.81949410632588,101.13311006136321,102.81950324155866
2580,102.92662747056792,103.81647767946879,102.81949410640121,101.13311006168117,102.819503241634
2581,102.92662747058094,103.81647768473489,102.81949410647593,101.1331100619968,102.81950324170872
2582,102.92662747059384,103.81647768996838,102.81949410655005,101.13311006231015,102.81950324178284
2583,102.92662747060663,103.81647769516947,102.81949410662358,101.13311006262121,102.81950324185637
2584,102.92662747061931,103.81647770033835,102.81949410669652,101.13311006293002,102.81950324192931
2585,102.92662747063187,103.81647770547524,102.81949410676889,101.13311006323657,102.81950324200167
2586,102.92662747064433,103.81647771058032,102.81949410684066,101.1331100635409,102.81950324207345
2587,102.92662747065668,103.81647771565379,102.81949410691186,101.13311006384302,102.81950324214466
2588,102.92662747066892,103.81647772069584,102.81949410698249,101.13311006414294,102.81950324221529
2589,102.92662747068105,103.81647772570668,102.81949410705256,101.13311006444067,102.81950324228536
2590,102.92662747069308,103.81647773068649,102.81949410712207,101.13311006473624,102.81950324235487
2591,102.926627470705,103.81647773563546,102.81949410719102,101.13311006502967,102.81950324242382
2592,102.92662747071681,103.8164777405538,102.81949410725942,101.13311006532096,102.81950324249222
2593,102.92662747072852,103.81647774544167,102.81949410732726,101.13311006561014,102.81950324256006
2594,102.92662747074013,103.8164777502993,102.81949410739456,101.13311006589721,102.81950324262736
2595,102.92662747075164,103.81647775512684,102.81949410746132,101.1331100661822,102.81950324269413
2596,102.92662747076305,103.8164777599245,102.81949410752756,101.13311006646511,102.81950324276036
2597,102.92662747077436,103.81647776469244,102.81949410759326,101.13311006674596,102.81950324282606
2598,102.92662747078558,103.81647776943086,102.81949410765843,101.13311006702476,102.81950324289123
2599,102.92662747079669,103.81647777413995,102.81949410772307,101.13311006730154,102.81950324295588
2600,102.9266274708077,103.81647777881989,102.81949410778721,101.13311006757631,102.81950324302001
2601,102.92662747081862,103.81647778347084,102.81949410785083,101.13311006784907,102.81950324308363
2602,102.92662747082943,103.816477788093,102.81949410791394,101.13311006811986,102.81950324314674
2603,102.92662747084016,103.81647779268653,102.81949410797654,101.13311006838867,102.81950324320934
2604,102.92662747085079,103.81647779725162,102.81949410803864,101.13311006865554,102.81950324327144
