,Sterman soil,NE_MBB trf_linear  soil,NE_MBB trf_linear (constrained) soil,NE_MBB trf_soft_l1  soil,NE_MBB trf_soft_l1 (constrained) soil,NE_MBB trf_huber  soil,NE_MBB trf_huber (constrained) soil,NE_MBB trf_cauchy  soil
50,105.72143827406805,116.06513811402345,107.24739006219593,123.49690793934383,110.07449601856844,123.8134677395475,110.05018524093522,126.86732917558699
51,105.82000983990166,116.14163522500166,107.33430410838888,123.58413163441216,110.12480222018884,123.90019516001186,110.10136054048158,126.95041517407127
52,105.93382869728885,116.22766028725428,107.4350299956892,123.67734136720722,110.18700335091172,123.99272295816883,110.16443298623432,127.03750948014088
53,106.06253472222319,116.32302697132135,107.54924206390982,123.77643930487189,110.26085172654525,124.09095691790304,110.2391542749718,127.12855417062156
54,106.20577218572112,116.42755148453284,107.67661966775816,123.88132880655927,110.34610311340208,124.19480395216266,110.32527968950569,127.22349196579114
55,106.36318978261829,116.54105254927543,107.81684713062985,123.99191441386897,110.4425166981876,124.30417209483153,110.42256806295266,127.32226622514727
56,106.53444065688427,116.66335138100915,107.96961369802915,124.10810184116238,110.54985505777432,124.41897049243781,110.5307817429357,127.4248209430857
57,106.71918242354185,116.79427166605954,108.13461349065146,124.22979796576966,110.66788412887266,124.5391093957128,110.64968655573676,127.53110074449647
58,106.91707718728061,116.9336395392098,108.3115454571614,124.35691081810057,110.79637317760832,124.66450015101394,110.77905177042051,127.64105088028441
59,107.12779155785651,117.08128356111594,108.50011332669868,124.48934957167032,110.93509476901663,124.7950551916243,110.91865006294834,127.75461722282051
60,107.35099666237153,117.23703469556652,108.7000255611425,124.62702453305107,111.08382473646385,124.93068802894066,111.06825748030066,127.87174626132978
61,107.58636815452847,117.40072628660782,108.91099530716443,124.76984713175908,111.24234215100574,125.07131324356119,111.22765340462412,127.99238509722133
62,107.83358622095716,117.5721940355533,109.13274034809807,124.91772991008665,111.41042929069327,125.21684647628341,111.39662051742006,128.116481439366
63,108.09233558470858,117.75127597789624,109.36498305565286,125.07058651288773,111.58787160983545,125.36720441902222,111.57494476378895,128.2439835993264
64,108.362305506014,117.93781246014235,109.6074503414984,125.22833167732537,111.77445770822911,125.52230480565738,111.76241531674528,128.37484048654431
65,108.64318978040565,118.13164611657903,109.85987360874464,125.3908812225887,111.96997930036521,125.68206640281934,111.9588245416163,128.50900160348954
66,108.93468673429543,118.33262184599663,110.12198870334198,125.55815203958662,112.17423118462123,125.84640900062135,112.16396796053718,128.64641704077488
67,109.2364992181072,118.54058678837616,110.3935358654251,125.73006208062519,112.38701121244895,126.01525340334607,112.37764421705477,128.787037472241
68,109.54833459705777,118.75539030155765,110.6742596806224,125.90653034907496,112.60812025756682,126.18852142009379,112.5996550408511,128.93081415001495
69,109.86990473968015,118.97688393790177,110.96390903135325,126.08747688903426,112.83736218516587,126.36613585539936,112.82980521259749,129.07769889954608
70,110.2009260041819,119.20492142095733,111.26223704813336,126.27282277499421,113.07454382113804,126.54802049982406,113.06790252894913,129.2276441146227
71,110.5411192227299,119.43935862214627,111.56900106090843,126.46249010151054,113.31947492133546,126.73410012052908,113.31375776768984,129.3806027523727
72,110.89020968375137,119.68005353747706,111.88396255043537,126.65640197288754,113.57196814086919,126.92430045183593,113.56718465303581,129.5365283282511
73,111.24792711233938,119.92686626429706,112.20688709972923,126.85448249287855,113.8318390034555,127.11854818577963,113.82799982110697,129.69537491101772
74,111.61400564884991,120.17965897809358,112.53754434559383,127.05665675440748,114.09890587081792,127.31677096265963,114.09602278557371,129.85709711770744
75,111.98818382577494,120.43829590935295,112.87570793025303,127.26285082931558,114.37298991215266,127.51889736159349,114.37107590348664,130.02165010859562
76,112.37020454297513,120.70264332048637,113.22115545309883,127.4729917581372,114.65391507366515,127.7248568910779,114.65298434129636,130.1889895821616
77,112.75981504135335,120.97256948283086,113.57366842257223,127.68700753990836,114.94150804818494,127.93457997956132,114.94157604106984,130.35907177005203
78,113.15676687504849,121.24794465373297,113.93303220819165,127.90482712201141,115.23559824486647,128.14799796603228,115.23668168690973,130.53185343204663
79,113.56081588222726,121.52864105372275,114.29903599274355,128.12638039005904,115.53601775898213,128.36504309062758,115.53813467158234,130.70729185102837
80,113.9717221545495,121.81453284378489,114.6714727246489,128.35159815782075,115.84260134181503,128.58564848526333,115.84577106335982,130.88534482796013
81,114.38925000538073,122.10549610273341,115.0501390705188,128.58041215719444,116.15518637065749,128.80974816429307,116.15942957308167,131.06597067686963
82,114.81316793682375,122.40140880469626,115.43483536791206,128.8127550282259,116.47361281892194,129.03727701519546,116.47895152144031,131.24912821984444
83,115.24324860563887,122.7021507967154,115.82536557830669,129.04856030917847,116.79772322637012,129.2681707892952,116.80418080649527,131.43477678203885
84,115.67926878812082,123.0076037764679,116.22153724029693,129.28776242665558,117.12736266946682,129.50236609251945,117.13496387142011,131.62287618669416
