,Sterman biomass,SE_SLP trf_linear  biomass,SE_SLP trf_linear (constrained) biomass,SE_SLP trf_huber (constrained) biomass,SE_SLP dogbox_linear (constrained) biomass
46,141.85130418959614,141.84104228626302,141.82991173668168,141.8852299346999,141.82991995636053
47,141.87324139342545,141.8580154921971,141.8466131920981,141.9020261592831,141.84662235108883
48,141.89081224332517,141.87150662002435,141.85988271739774,141.9153658069438,141.85989265897868
49,141.90488487456966,141.8822294663183,141.87042498847936,141.9259596737712,141.87043558063476
50,141.91615515313637,141.89075171057598,141.87880019014858,141.93437259382313,141.87881132204342
51,141.92518073927235,141.89752475034751,141.88545356980785,141.94105333736283,141.88546514866522
52,141.93240845895997,141.9029074723387,141.89073897355215,141.94635841264295,141.8907509219177
53,141.93819628235596,141.90718518169552,141.89493757987597,141.95057100405225,141.89494983324244
54,141.94283096176898,141.91058466916664,141.89827280453662,141.95391603396985,141.89828530929654
55,141.94654217993423,141.91328620001977,141.90092215511623,141.956572137645,141.90093486680843
56,141.94951389490933,141.91543305100816,141.9030266570043,141.95868118121047,141.9030395388202
57,141.95189343442092,141.91713909521764,141.90469834673587,141.96035582527705,141.9047113682531
58,141.9537987844232,141.91849483333885,141.9060262279376,141.96168553440307,141.90603936405046
59,141.95532442934402,141.91957218892463,141.90708100467012,141.9627413511267,141.90709423468988
60,141.95654603111768,141.92042832052203,141.90791884273628,141.9635796881378,141.90793214963648
61,141.95752417744234,141.9211086519795,141.9085843583183,141.96424534026838,141.9085977281035
62,141.95830738413036,141.9216492811082,141.90911299251158,141.964773876651,141.90912641369098
63,141.95893449980485,141.9220788941199,141.9095328978401,141.9651935404971,141.90954636098934
64,141.9594366317948,141.92242028718343,141.9098664369885,141.96552675777772,141.90987993438574
65,141.95983868848847,141.922691575686,141.91013137342176,141.96579133527982,141.91014489874604
66,141.96016061447887,141.92290715527037,141.91034181720954,141.96600141196743,141.91035536529125
67,141.96041837966035,141.9230784655846,141.9105089763701,141.9661682144289,141.91052254298472
68,141.96062477127128,141.92321459723405,141.9106417537126,141.96630065674512,141.9106553354107
69,141.9607900281281,141.92332277411964,141.91074722094268,141.9664058168125,141.91076081490968
70,141.96092234848481,141.92340873674297,141.9108309952664,141.96648931456127,141.9108445992075
71,141.96102829669385,141.92347704680867,141.91089753854283,141.96655561227254,141.91091115058813
72,141.96111312882974,141.92353132928247,141.910950394911,141.96660825303772,141.91096401353786
