,Sterman biomass,NE_MBB trf_linear  biomass,NE_MBB trf_linear (constrained) biomass,NE_MBB trf_soft_l1  biomass,NE_MBB trf_soft_l1 (constrained) biomass,NE_MBB trf_huber  biomass,NE_MBB trf_huber (constrained) biomass,NE_MBB trf_cauchy  biomass
99,149.35771793706252,149.5798579539325,149.12235196198046,149.76501117420898,149.470302184317,149.78571785389096,149.45945307254811,149.32590265042202
100,150.02767581503895,150.26163144130632,149.7871343831881,150.46662912306718,150.1690332509207,150.48521063116667,150.1631514976046,150.04273680255847
101,150.68671834971985,150.93397890411342,150.4421056161983,151.15901271044353,150.8581920611108,151.17540747156255,150.85749831331387,150.75040437945037
102,151.33499422927622,151.59702357912255,151.08739603244763,151.84227864874373,151.53789723833583,151.8564263248713,151.54260976105687,151.4490169752978
103,151.97265122216305,152.25088731126797,151.72313471753688,152.51654232164805,152.20826629553784,152.52838381513683,152.2186008680366,152.1386849891289
104,152.59983613478542,152.8956905620573,152.34944946937475,153.1819177944079,152.86941563476185,153.19139524987358,152.88558545291053,152.81951763245667
105,153.2166947716886,153.53155241821858,152.96646679692196,153.83851782425037,153.52146054716542,153.8455746294465,153.5436761316546,153.4916229370795
106,153.8233718981844,154.15859060057082,153.57431191951375,154.48645387088027,154.16451521341568,154.49103465659906,154.19298432364627,154.1551077630149
107,154.42001120532848,154.77692147310395,154.17310876673972,155.12583610707003,154.79869270446005,155.12788674611792,154.833620257956,154.81007780655747
108,155.0067552771648,155.3866600522541,154.76297997885973,155.7567734293285,155.42410498265843,155.7562410346232,155.4656929798354,155.45663760845184
109,155.58374556015602,155.98792001636076,155.34404690773616,156.37937346863967,156.04086290326362,156.37620639047364,156.0893103573921,156.0948905621723
110,156.15112233471913,156.58081371529366,155.91642961826193,156.99374260126314,156.64907621623834,156.9878904237768,156.70457908844008,156.72493892230077
111,156.70902468878998,157.1654521802363,156.4802468902657,157.5999859595882,157.24885356839624,157.59139949649435,157.31160470751698,157.34688381299503
112,157.2575904933395,157.74194513361502,157.03561622087497,158.19820744303428,157.84030250585533,158.18683873263373,157.91049159305737,157.96082523653993
113,157.79695637976894,158.3104009991625,157.58265382731875,158.78850972899016,158.42352947679217,158.77431202851716,158.50134297471394,158.56686208197425
114,158.32725771911132,158.8709269121043,158.1214746501523,159.37099428378562,158.99863983448554,159.3539220631196,159.08426094081702,159.1650921337864
115,158.84862860296963,159.42362872945887,158.65219235688605,159.94576137368858,159.56573784063846,159.92577030846795,159.65934644596447,159.75561208067214
116,159.36120182612348,159.96861104044095,159.174919346002,160.51291007592164,160.12492666896767,160.4899570400936,160.22669931873304,160.33851752434808
117,159.86510887073763,160.50597717695874,159.68976675134118,161.0725382896924,160.6763084090502,161.04658134753154,160.78641826950425,160.91390298841526
118,160.36047989210886,161.03582922419616,160.1968444468458,161.6247427472316,161.2199840704163,161.59574114485852,161.33860089839592,161.48186192726635
119,160.84744370588754,161.55826803127127,160.69626105164085,162.16961902483408,161.75605358687932,162.1375331812644,161.8833437032931,162.04248673503147
120,161.326127776714,162.07339322196293,161.18812393543965,162.70726155389713,162.28461582109162,162.6720530516498,162.4207420879706,162.5958687545571
121,161.79665820821037,162.58130320549736,161.67253922425874,163.23776363195174,162.80576856931788,163.19939520724458,162.95089037030084,163.14209828641305
122,162.25915973427058,163.08209518738764,162.14961180642754,163.7612174336822,163.319608566416,163.71965296624077,163.47388179053974,163.68126459792268
123,162.7137557115934,163.5758651803182,162.61944533887913,164.27771402192934,163.82623149101633,164.23291852443575,163.98980851968506,164.2134559322116
124,163.16056811340403,164.0627080150682,163.08214225370835,164.78734335867384,164.3257319708903,164.73928296587897,164.4987616679007,164.73875951727072
125,163.59971752431298,164.54271735146645,163.53780376498392,165.2901943159951,164.81820358850018,165.23883627351879,165.00083129300094,165.25726157502908
126,164.03132313626085,165.01598568937194,163.98652987580215,165.78635468700253,165.30373888672088,165.73166733984354,165.4961064089894,165.76904733043247
127,164.45550274550072,165.48260437967417,164.4284193855695,166.27591119673542,165.782429374726,166.2178639775133,165.98467499464684,166.2742010205242
128,164.87237275057046,165.94266363530687,164.86356989750206,166.7589495130281,166.25436553402974,166.69751292997765,166.466624002163,166.77280590352424
129,165.28204815120932,166.39625254227033,165.2920778263301,167.2355542573374,166.71963682467702,167.17069988207535,166.94203936580703,167.26494426790293
130,165.68464254817417,166.84345907065642,165.71403840619652,167.70580901552924,167.17833169157427,167.6375094706126,167.41100601063187,167.75069744144636
131,166.08026814391292,167.284370085672,166.12954569873824,168.16979634862153,167.6305375709533,168.09802529491566,167.87360786120792,168.23014580030988
132,166.46903574405346,167.71907135865533,166.53869260133942,168.62759780348105,168.07634089696109,168.5523299273549,168.32992785038152,168.7033687780567
133,166.85105475966807,168.1476475780812,166.9415708555467,169.07929392347125,168.5158271083685,169.00050492383664,168.78004792805385,169.17044487467888
134,167.2264332102748,168.57018236055052,167.3382710556362,169.52496425904909,168.94908065539124,169.44263083425997,169.2240490699761,169.63145166559767
135,167.59527772753825,168.98675826175997,167.72888265732252,169.9646873783084,169.37618500661614,169.87878721293535,169.66201128655715,170.08646581064082
136,167.957693559634,169.39745678744805,168.11349398660022,170.39854087746775,169.79722265602663,170.3090526289625,170.09401363167956,170.53556306299404
137,168.31378457624172,169.8023584043136,168.49219224870936,170.82660139130078,170.2122751301211,170.73350467656462,170.52013421152066,170.9788182781245
138,168.66365327413328,170.20154255090338,168.86506353721512,171.24894460350728,170.62142299511797,171.15221998537692,170.94045019337483,171.41630542267376
139,169.00740078332416,170.5950876484651,169.2321928431944,171.66564525702302,171.02474586424165,171.56527423068653,171.35503781447375,171.84809758331846
140,169.34512687375624,170.9830711117628,169.59366406451997,172.07677716426693,171.42232240508386,171.97274214362196,171.76397239080143,172.27426697559616
141,169.67692996248235,171.3655693598518,169.94956001523457,172.48241321732408,171.81423034703454,172.37469752129,172.1673283259007,172.6948849526947
142,170.0029071213236,171.74265782680965,170.29996243500793,172.88262539806266,172.20054648877706,172.77121323685796,172.5651791196687,173.1100220142031
143,170.32315408497163,172.11441097242115,170.64495199866835,173.2774847881841,172.58134670584278,173.16236124957948,172.95759737713752,173.51974781482244
144,170.6377652595091,172.48090229281414,170.98460832580207,173.66706157920498,172.95670595821946,173.54821261476192,173.3446548172385,173.92413117303468
145,170.94683373132239,172.84220433104392,171.31900999041372,174.05142508236918,173.32669829800923,173.92883749367422,173.72642228154666,174.32324007972824
146,171.25045127638182,173.1983886876241,171.6482345306407,174.43064373848955,173.69139687713098,174.30430516339314,174.102969743003,174.71714170677862
147,171.548708369866,173.5495260310013,171.97235845851569,174.80478512771833,174.05087395506277,174.67468402658673,174.47436631461255,175.10590241558268
148,171.8416941961064,173.89568610797198,172.29145726977023,175.17391597924473,174.40520090661968,175.0400416212336,174.84068025811544,175.48958776554522
149,172.12949665883116,174.23693775403922,172.60560545367446,175.53810218091925,174.75444822976343,175.40044463027675,175.2019789926291,175.86826252251686
150,172.41220239168652,174.57334890370765,172.91487650290617,175.89740878880417,175.09868555343877,175.75595889121078,175.55832910325952,176.24199066718165
151,172.68989676901552,174.90498660071486,173.2193429234445,176.25190003664886,175.43798164543338,176.10664940560144,175.90979634967937,176.6108354033935
152,172.96266391687473,175.2319170081976,173.51907624448228,176.60163934529,175.77240442025717,176.45258034853643,176.2564456746711,176.9748591664605
153,173.23058672427027,175.55420541879135,173.81414702835258,176.94668933197545,176.10202094703715,176.79381507800642,176.59834121263358,177.33412363137597
154,173.49374685459506,175.87191626466154,174.1046248804638,177.28711181961194,176.42689745742456,177.13041614421584,176.93554629805007,177.6886897209954
155,173.7522247572505,176.18511312746554,174.3905784592391,177.62296784593528,176.7470993535106,177.46244529882205,177.26812347391618,178.0386176141583
156,174.0060996794358,176.49385874824367,174.67207548605535,177.9543176726036,177.06269121574758,177.78996350410267,177.59613450012608,178.3839667537546
157,174.25544967808938,176.7982150372385,174.94918275517756,178.2812207942124,177.37373681087217,178.11303094205022,177.91964036181574,178.72479585473414
158,174.50035163196722,177.09824308364108,175.22196614368386,178.60373594723194,177.68029909982775,178.4317070233933,178.23870127766142,179.06116291205922
159,174.7408812538439,177.39400316526329,175.49049062137811,178.92192111886573,177.98244024568288,178.74605039654404,178.5533767081325,179.39312520859937
160,174.9771131028224,177.6855547581352,175.75482026068534,179.23583355583088,178.2802216215429,179.05611895647112,178.86372536369706,179.72073932296746
161,175.2091205967395,177.97295654602672,176.01501824652652,179.54552977305954,178.57370381845212,179.36196985349832,179.16980521297918,180.04406113729715
162,175.4369760246543,178.25626642989283,176.27114688617004,179.85106556232134,178.8629466532838,179.6636595020274,179.47167349086683,180.36314584496054
163,175.66075055940792,178.53554153724147,176.52326761905482,180.152496000767,179.14800917661552,179.9612435891859,179.76938670656907,180.67804795822636
164,175.88051427024254,178.8108382314236,176.7714410265835,180.4498754593928,179.42894968058727,180.25477708339912,180.06300065162193,180.98882131585754
165,176.09633613546933,179.08221212084493,177.0157268418817,180.743257611426,179.70582570674014,180.5443142428859,180.35257040784188,181.29551909064816
166,176.3082840551746,179.34971806809844,177.2561839595206,181.0326954406312,179.9786940538334,180.82990862407829,180.63815035522578,181.5981937968997
167,176.51642486395426,179.61341019901772,177.49287044520008,181.31824124953772,180.2476107856376,181.11161308996498,180.91979417979678,181.89689729783544
168,176.7208243436672,179.87334191165039,177.72584354538986,181.59994666758806,180.5126312387017,181.38947981835798,181.19755488139532,182.19168081295396
169,176.92154723619856,180.12956588515112,177.95515969692588,181.8778626592073,180.77381003009233,181.66356031008291,181.47148478141435,182.48259492532043
170,177.11865725622448,180.38213408859457,178.1808745365596,182.15203953179423,181.0312010651035,181.9339053970926,181.74163553047842,182.7696895887962
171,177.31221710396983,180.63109778970707,178.40304291045805,182.42252694363356,181.28485754493425,182.20056525050404,182.00805811606554,183.0530141352062
172,177.50228847795177,180.87650756351772,178.62171888365222,182.68937391172992,181.5348319743335,182.4635893885589,182.27080287007175,183.33261728144407
173,177.68893208770143,181.11841330092824,178.8369557494319,182.95262881956373,181.78117616920957,182.7230266845071,182.52991947631756,183.60854713651506
174,177.87220766645686,181.35686421720138,179.048806038685,183.21233942476923,182.02394126420342,182.9789253744144,182.78545697799584,183.88085120851662
175,178.0521739838207,181.59190886036822,179.2573215291793,183.4685528667347,182.26317772022367,183.23133306489328,183.03746378506057,184.1495764115563
176,178.22888885837642,181.82359511955397,179.46255325478526,183.72131567412538,182.49893533194245,183.4802967407576,183.28598768155643,184.41476907260747
177,178.4024091702573,182.05197023322233,179.66455151463785,183.97067377232935,182.73126323525025,183.7258627726015,183.53107583288843,184.67647493830245
178,178.57279087366226,182.27708079733856,179.86336588223602,184.2166724908266,182.96020991466878,183.96807692430193,183.77277479303146,184.93473918166336
179,178.74008900931383,182.4989727734512,180.05904521447854,184.45935657048165,183.1858232107206,184.20698436044609,184.01113051167948,185.1896064087704
180,178.90435771685296,182.71769149669245,180.25163766063443,184.6987701707602,183.4081503272542,184.44262965368296,184.24618834133406,185.44112066536815
181,179.06565024716605,182.9332816836978,180.4411906712471,184.93495687686993,183.62723783872374,184.67505679199988,184.4779930443319,185.6893254434093
182,179.22401897464016,183.1457874404442,180.6277510069708,185.16795970682594,183.84313169742208,184.90430918592418,184.7065887998114,185.93426368753686
183,179.37951540934168,183.3552522700079,180.81136474733802,185.39782111844147,184.05587724066632,185.1304296756502,184.93201921061797,186.17597780150388
184,179.53219020911547,183.56171908024155,180.99207729945755,185.62458301624383,184.265519197935,185.35346053809198,185.15432731014775,186.41450965453163
185,179.68209319160007,183.76523019137105,181.16993340664138,185.8482867583164,184.4721016979558,185.57344349386216,185.37355556913016,186.6499005876063
186,179.82927334615613,183.9658273435122,181.34497715696014,186.06897316306674,184.6756682757434,185.7904197141769,185.58974590234854,186.8821914197141
187,179.97377884570466,184.16355170410773,181.51725199172586,186.28668251592185,184.87626187958617,186.0044298276878,185.80293967529946,187.11142245401504
188,180.11565705847246,184.35844387528485,181.68680071390168,186.5014545759501,185.07392487798163,186.215513927241,186.0131777107901,187.33763348395598
189,180.25495455964182,184.55054390113344,181.85366549643757,186.71332858241138,185.26869906651928,186.4237115765635,186.22050029547415,187.56086379932265
190,180.39171714290177,184.73989127490566,182.0178878905314,186.92234326123503,185.46062567471097,186.62906181687754,186.42494718632608,187.78115219223116
191,180.5259898318993,184.92652494613702,182.17950883381508,187.12853683142663,185.64974537276763,186.83160317344326,186.62655761705366,187.9985369630595
192,180.6578168915876,185.11048332768934,182.33856865846482,187.3319470114038,185.83609827832208,187.03137366203018,186.82537030444908,188.21305592631853
193,180.78724183946974,185.29180430271612,182.4951070992357,187.53261102526167,186.0197239630975,187.2284107953177,187.02142345467857,188.4247464164636
194,180.91430745673622,185.47052523155057,182.6491633014194,187.73056560896845,186.20066145952094,187.4227515892254,187.21475476951068,188.63364529364662
195,181.03905579929418,185.6466829585169,182.80077582872534,187.92584701649164,186.37894926728168,187.61443256917312,187.40540145248332,188.839788949409
196,181.1615282086874,185.82031381866506,182.94998267108463,188.11849102585552,186.5546253598338,187.80348977627187,187.5934002150098,189.0432133123156
197,181.2817653229054,185.99145364442978,183.09682125237677,188.3085329451302,186.72772719084298,187.9899587734457,187.7787872824239,189.24395385353037
198,181.39980708708035,186.160137772214,183.24132843807885,188.49600761835282,186.8982917005768,188.17387465148485,187.96159839996406,189.44204559233356
199,181.51569276407145,186.32640104889717,183.38354054283673,188.68094943138158,187.06635532223888,188.3552720350311,188.14186883869732,189.63752310158125
200,181.62946094493464,186.49027783826938,183.52349333795883,188.8633923176832,187.23195398824583,188.53418508849552,188.3196334013826,189.8304205131074
201,181.7411495592781,186.65180202739126,183.66122205883187,189.04336976405392,187.3951231364477,188.71064752190912,188.494926428274,190.02077152306845
202,181.85079588550204,186.8110070328804,183.7967614122587,189.22091481627493,187.55589771629096,188.88469259670708,188.66778180286434,190.20860939723124
