,Sterman biomass,NE_OH trf_linear  biomass,NE_OH trf_linear (constrained) biomass,NE_OH trf_soft_l1 (constrained) biomass,NE_OH trf_huber  biomass,NE_OH trf_huber (constrained) biomass
2245,316.6631518691947,342.8968579660025,333.24493663265173,349.7249558691377,372.576367070889,339.21539855525117
2246,316.66315186919576,342.89685796752684,333.2449366328756,349.7249558710188,372.57636711826444,339.21539855553976
2247,316.66315186919684,342.8968579690367,333.2449366330971,349.72495587288205,372.576367165264,339.21539855582535
2248,316.6631518691979,342.89685797053227,333.2449366333163,349.7249558747277,372.57636721189056,339.21539855610797
2249,316.663151869199,342.8968579720136,333.2449366335332,349.7249558765559,372.5763672581471,339.2153985563877
2250,316.66315186919996,342.89685797348085,333.2449366337479,349.7249558783668,372.5763673040365,339.2153985566646
2251,316.66315186920093,342.8968579749341,333.2449366339603,349.7249558801606,372.5763673495618,339.21539855693857
2252,316.6631518692019,342.8968579763736,333.24493663417053,349.7249558819375,372.57636739472576,339.21539855720977
2253,316.66315186920286,342.8968579777994,333.2449366343786,349.72495588369753,372.57636743953134,339.2153985574781
2254,316.66315186920383,342.89685797921163,333.24493663458446,349.724955885441,372.57636748398136,339.21539855774375
2255,316.6631518692048,342.8968579806104,333.2449366347882,349.72495588716794,372.57636752807866,339.2153985580066
2256,316.66315186920576,342.8968579819959,333.2449366349898,349.7249558888786,372.576367571826,339.2153985582667
2257,316.66315186920673,342.8968579833682,333.24493663518933,349.7249558905731,372.57636761522616,339.2153985585242
2258,316.6631518692077,342.89685798472743,333.24493663538675,349.72495589225156,372.5763676582819,339.215398558779
2259,316.6631518692086,342.89685798607377,333.2449366355821,349.72495589391417,372.57636770099606,339.21539855903114
2260,316.6631518692095,342.89685798740726,333.24493663577545,349.72495589556104,372.5763677433712,339.21539855928074
2261,316.6631518692104,342.8968579887281,333.2449366359668,349.7249558971924,372.57636778541007,339.2153985595277
2262,316.66315186921133,342.8968579900363,333.2449366361561,349.72495589880833,372.5763678271153,339.21539855977215
2263,316.66315186921224,342.8968579913321,333.2449366363435,349.724955900409,372.57636786848957,339.215398560014
2264,316.6631518692131,342.8968579926156,333.24493663652885,349.72495590199446,372.57636790953546,339.21539856025345
2265,316.66315186921395,342.89685799388684,333.24493663671234,349.724955903565,372.57636795025564,339.21539856049037
2266,316.6631518692148,342.89685799514604,333.24493663689395,349.7249559051207,372.5763679906527,339.21539856072485
2267,316.66315186921565,342.89685799639324,333.24493663707364,349.72495590666165,372.57636803072916,339.21539856095694
2268,316.6631518692165,342.89685799762856,333.24493663725144,349.72495590818806,372.5763680704876,339.21539856118665
2269,316.6631518692173,342.89685799885217,333.24493663742743,349.7249559097001,372.57636810993057,339.21539856141396
2270,316.6631518692181,342.8968580000641,333.2449366376016,349.7249559111978,372.5763681490605,339.2153985616389
