,Sterman biomass,SC_SLP trf_linear  biomass,SC_SLP trf_linear (constrained) biomass,SC_SLP trf_huber (constrained) biomass,SC_SLP dogbox_linear (constrained) biomass,SC_SLP dogbox_huber (constrained) biomass
63,134.21111654553283,134.1988592808665,134.1882871908792,134.21757803754588,134.18833588469826,134.21761658761528
64,134.21182328296754,134.19942093043267,134.18883956312922,134.21814314851514,134.18888853372758,134.21818196989153
65,134.21239602979614,134.19987482311598,134.1892858309417,134.21859984203235,134.1893350308216,134.2186388882595
66,134.21286018841224,134.2002416323625,134.18964637523294,134.21896891759474,134.1896957649312,134.2190081500556
67,134.2132363456581,134.20053806555615,134.1899376622686,134.21926718458744,134.1899872090226,134.21930657120606
68,134.2135411856023,134.20077762481407,134.19017299550234,134.21950822766615,134.19022267213208,134.21954774181933
69,134.21378822934028,134.20097122186442,134.19036312304067,134.21970302534805,134.1904129070129,134.21974264495384
70,134.21398843458454,134.20112767498537,134.19051672845006,134.21986044995555,134.19056660109604,134.21990015671065
71,134.21415068161002,134.20125411062142,134.19064082730392,134.21998767166428,134.19069077316624,134.22002745040697
72,134.2142821670882,134.20135628795856,134.1907410875692,134.22009048504597,134.19079109385694,134.22013032322437
73,134.21438872326652,134.20143886123435,134.1908220884575,134.22017357297105,134.19087214459216,134.22021346019983
74,134.2144750766422,134.20150559172637,134.19088752955827,134.22024071988574,134.19093762679574,134.22028064757674
75,134.21454505759817,134.20155951907185,134.1909403998022,134.22029498417422,134.19099053091844,134.22033494522924
76,134.21460177029712,134.20160309971956,134.1909831139706,134.22033883745448,134.1910332730002,134.22037882600955
77,134.21464773036635,134.20163831881965,134.19101762298325,134.2203742771508,134.19106780500255,134.22041428836397
78,134.21468497647987,134.2016667806468,134.19104550300204,134.22040291746956,134.19109570394897,134.2204429473446
79,134.21471516078577,134.2016897816754,134.19106802741857,134.22042606292132,134.19111824394335,134.2204661081613
80,134.21473962218968,134.20170836963442,134.19108622501395,134.2204447677374,134.19113645435527,134.2204848256236
81,134.2147594457441,134.20172339123206,134.19110092694672,134.2204598838875,134.19115116682937,134.2204999521788
82,134.21477551077797,134.20173553072436,134.19111280471472,134.22047209988474,134.19116305326466,134.22051217673453
83,134.21478852990123,134.20174534108347,134.19112240082492,134.220481972146,134.1911726564991,134.22052205603316
84,134.2147990806143,134.20175326918624,134.19113015357178,134.22048995033532,134.19118041510012,134.22053004000745
