,Sterman soil,SE_LSP trf_linear  soil,SE_LSP trf_linear (constrained) soil,SE_LSP trf_soft_l1  soil,SE_LSP trf_huber (constrained) soil
31,130.10917964339146,133.17258059607275,131.1236770562696,136.3640869142537,131.619821613982
32,130.14862010898295,133.19194361017816,131.1580123671396,136.36782569757725,131.63579473172166
33,130.19228191972098,133.21417756213467,131.19572454842768,136.3735388097965,131.6550134992665
34,130.23927107999694,133.2386840456286,131.23608274032145,136.38082957522442,131.676801085899
35,130.28885976455533,133.2649788669017,131.27849617535657,136.38937701801595,131.70061020292627
36,130.34045757878448,133.29267140178675,131.32248876143788,136.39892217119072,131.72599962414566
37,130.39358705009622,133.32144727363502,131.36767777979338,136.40925658708088,131.75261449613325
38,130.4478630080472,133.35105397354877,131.4137562200804,136.4202127997345,131.7801700037561
39,130.50297541638636,133.38128902240317,131.46047825169768,136.4316564742334,131.80843793198034
40,130.55867519500978,133.4119902887028,131.50764735105741,136.44347998700025,131.8372356823301
41,130.61476258562126,133.44302811008686,131.5551066480974,136.455597203317,131.86641734145508
42,130.67107765264052,133.47429890827686,131.6027311083342,136.4679392460353,131.89586644760914
43,130.7274925582789,133.50572003082354,131.65042122127795,136.4804510783517,131.92549015086854
44,130.78390530021144,133.53722559443278,131.69809791760352,136.4930887510343,131.95521451040312
45,130.84023464764306,133.56876314208543,131.74569848391457,136.5058171893667,131.98498071495732
46,130.89641605460582,133.60029095889166,131.79317328443668,136.51860841683413,132.01474205011056
47,130.95239836714939,133.63177591959206,131.84048313352065,136.531440131172,132.04446146782558
48,131.00814117356975,133.66319176413532,131.88759719183986,136.54429456403227,132.07410964062205
49,131.0636126742645,133.69451771730434,131.93449128322925,136.5571575685122,132.1036634049837
50,131.11878797070494,133.72573738445178,131.98114654890796,136.5700178894805,132.13310451692897
51,131.17364769195564,133.75683786856553,132.0275483719976,136.5828665803786,132.16241865764644
52,131.2281768927268,133.78780906458877,132.07368551839363,136.5956965372826,132.19159463926624
53,131.282364169649,133.81864309559265,132.11954945068675,136.6085021267698,132.220623770691
54,131.33620095279522,133.84933386240374,132.16513378042006,136.6212788887809,132.2494993513605
55,131.38968093785385,133.87987668393163,132.2104338308806,136.63402329941357,132.27821626722582
56,131.44279963113183,133.91026800997847,132.25544628817912,136.6467325815901,132.30677066835037
57,131.49555398503543,133.9405051919551,132.3001689228291,136.6594045539572,132.33515971168174
58,131.54794210608233,133.97058629984767,132.3446003676068,136.67203751031,132.36338135584347
59,131.59996302104364,134.00050997611885,132.3887399403338,136.6846301233824,132.39143419744164
60,131.65161648966543,134.03027531909936,132.43258750251056,136.6971813680846,132.41931734049814
61,131.7029028547077,134.0598817899229,132.4761433465576,136.70969046026056,132.44703029231388
62,131.75382292187737,134.08932913825544,132.5194081058827,136.72215680782918,132.47457288041704
63,131.80437786370572,134.11861734302641,132.56238268315957,136.7345799718072,132.5019451863313
64,131.85456914260342,134.14774656513407,132.60506819313505,136.74695963521552,132.52914749276056
65,131.9043984492741,134.1767171097074,132.64746591702644,136.75929557827556,132.55618024147495
