,Sterman biomass,NE_OP trf_linear  biomass,NE_OP trf_linear (constrained) biomass,NE_OP trf_soft_l1  biomass,NE_OP trf_soft_l1 (constrained) biomass,NE_OP trf_huber  biomass,NE_OP trf_huber (constrained) biomass,NE_OP dogbox_huber (constrained) biomass
1198,176.32746559578246,182.2993139240206,179.34666994807023,186.45901527281256,183.43573286067232,186.95530839300505,184.0138792712177,182.17489678518487
1199,176.32746559578334,182.2993139240464,179.3466699480784,186.45901527293142,183.4357328607084,186.95530839316126,184.01387927125012,182.17489678520477
1200,176.32746559578416,182.29931392407164,179.34666994808632,186.45901527304784,183.4357328607437,186.9553083933143,184.0138792712819,182.17489678522426
1201,176.327465595785,182.29931392409634,179.3466699480941,186.4590152731619,183.43573286077827,186.9553083934643,184.013879271313,182.17489678524336
1202,176.3274655957858,182.2993139241205,179.3466699481017,186.45901527327362,183.4357328608121,186.95530839361123,184.0138792713434,182.174896785262
1203,176.3274655957866,182.29931392414412,179.3466699481091,186.45901527338307,183.4357328608452,186.95530839375522,184.01387927137316,182.17489678528023
1204,176.32746559578737,182.29931392416722,179.34666994811636,186.45901527349028,183.4357328608776,186.9553083938963,184.0138792714023,182.17489678529807
1205,176.32746559578814,182.29931392418982,179.34666994812346,186.45901527359533,183.4357328609093,186.95530839403457,184.01387927143077,182.17489678531552
1206,176.32746559578888,182.29931392421193,179.3466699481304,186.4590152736982,183.4357328609403,186.95530839417003,184.01387927145862,182.1748967853326
1207,176.3274655957896,182.29931392423356,179.34666994813716,186.45901527379903,183.43573286097066,186.9553083943028,184.01387927148588,182.1748967853493
1208,176.32746559579027,182.29931392425473,179.34666994814378,186.45901527389776,183.43573286100033,186.95530839443285,184.01387927151256,182.1748967853656
1209,176.32746559579095,182.29931392427542,179.34666994815024,186.45901527399448,183.43573286102938,186.9553083945603,184.01387927153866,182.17489678538155
1210,176.3274655957916,182.2993139242957,179.34666994815657,186.45901527408924,183.43573286105783,186.95530839468518,184.01387927156418,182.17489678539718
1211,176.32746559579226,182.2993139243155,179.34666994816277,186.45901527418204,183.43573286108565,186.95530839480753,184.01387927158916,182.17489678541244
1212,176.32746559579292,182.29931392433488,179.34666994816882,186.45901527427296,183.43573286111288,186.9553083949274,184.0138792716136,182.17489678542736
1213,176.32746559579354,182.29931392435387,179.34666994817476,186.45901527436203,183.4357328611395,186.9553083950449,184.01387927163753,182.17489678544197
1214,176.32746559579414,182.29931392437243,179.34666994818053,186.45901527444929,183.43573286116558,186.95530839516002,184.01387927166095,182.17489678545627
1215,176.32746559579473,182.2993139243906,179.34666994818616,186.45901527453475,183.4357328611911,186.9553083952728,184.01387927168386,182.17489678547025
1216,176.32746559579533,182.29931392440835,179.34666994819167,186.45901527461848,183.43573286121605,186.95530839538333,184.01387927170626,182.17489678548392
1217,176.32746559579593,182.29931392442572,179.34666994819707,186.4590152747005,183.4357328612405,186.9553083954916,184.01387927172817,182.17489678549728
1218,176.32746559579644,182.29931392444274,179.34666994820233,186.45901527478085,183.4357328612644,186.9553083955977,184.01387927174963,182.17489678551036
1219,176.32746559579695,182.2993139244594,179.34666994820748,186.45901527485955,183.4357328612878,186.95530839570168,184.0138792717706,182.17489678552315
1220,176.32746559579746,182.29931392447565,179.3466699482125,186.45901527493666,183.43573286131067,186.95530839580354,184.01387927179113,182.17489678553565
1221,176.32746559579797,182.29931392449157,179.34666994821742,186.4590152750122,183.4357328613331,186.9553083959034,184.01387927181122,182.1748967855479
1222,176.32746559579846,182.29931392450715,179.34666994822223,186.45901527508622,183.43573286135504,186.9553083960012,184.0138792718309,182.17489678555987
1223,176.32746559579894,182.29931392452238,179.3466699482269,186.4590152751587,183.4357328613765,186.95530839609702,184.01387927185013,182.17489678557158
1224,176.3274655957994,182.2993139245373,179.34666994823147,186.45901527522972,183.4357328613975,186.95530839619096,184.01387927186894,182.17489678558303
1225,176.32746559579985,182.29931392455188,179.34666994823596,186.4590152752993,183.43573286141805,186.95530839628296,184.01387927188736,182.17489678559423
1226,176.3274655958003,182.29931392456615,179.34666994824033,186.45901527536745,183.43573286143817,186.95530839637314,184.01387927190538,182.17489678560517
1227,176.32746559580073,182.29931392458013,179.3466699482446,186.45901527543418,183.43573286145784,186.9553083964615,184.01387927192303,182.17489678561589
1228,176.32746559580116,182.29931392459378,179.34666994824877,186.45901527549958,183.43573286147708,186.95530839654808,184.0138792719403,182.17489678562637
1229,176.32746559580158,182.29931392460713,179.34666994825287,186.45901527556364,183.43573286149595,186.95530839663292,184.0138792719572,182.1748967856366
1230,176.327465595802,182.2993139246202,179.34666994825687,186.4590152756264,183.4357328615144,186.95530839671605,184.01387927197368,182.1748967856466
1231,176.3274655958024,182.29931392463303,179.34666994826077,186.45901527568788,183.43573286153244,186.95530839679748,184.01387927198985,182.17489678565641
1232,176.3274655958028,182.29931392464553,179.3466699482646,186.4590152757481,183.4357328615501,186.95530839687729,184.01387927200568,182.17489678566602
1233,176.32746559580315,182.29931392465778,179.34666994826833,186.45901527580708,183.43573286156737,186.95530839695547,184.01387927202114,182.1748967856754
1234,176.3274655958035,182.29931392466975,179.346669948272,186.45901527586489,183.43573286158428,186.9553083970321,184.0138792720363,182.17489678568455
1235,176.32746559580383,182.29931392468146,179.34666994827555,186.4590152759215,183.43573286160083,186.95530839710716,184.0138792720511,182.1748967856935
1236,176.32746559580417,182.2993139246929,179.34666994827904,186.45901527597695,183.43573286161703,186.95530839718074,184.0138792720656,182.17489678570226
1237,176.3274655958045,182.2993139247041,179.34666994828245,186.4590152760313,183.43573286163286,186.95530839725282,184.01387927207978,182.17489678571084
1238,176.32746559580485,182.29931392471508,179.34666994828578,186.4590152760845,183.43573286164835,186.95530839732345,184.01387927209367,182.17489678571923
1239,176.3274655958052,182.2993139247258,179.34666994828902,186.45901527613665,183.43573286166352,186.95530839739266,184.01387927210723,182.17489678572744
1240,176.32746559580548,182.29931392473628,179.3466699482922,186.45901527618773,183.43573286167836,186.95530839746047,184.0138792721205,182.17489678573546
1241,176.32746559580576,182.29931392474654,179.34666994829533,186.45901527623775,183.43573286169288,186.95530839752692,184.0138792721335,182.17489678574333
1242,176.32746559580605,182.2993139247566,179.34666994829834,186.45901527628675,183.4357328617071,186.95530839759203,184.01387927214623,182.17489678575097
1243,176.32746559580633,182.29931392476644,179.3466699483013,186.45901527633478,183.435732861721,186.95530839765584,184.01387927215865,182.1748967857585
1244,176.32746559580661,182.29931392477604,179.3466699483042,186.45901527638182,183.4357328617346,186.95530839771834,184.0138792721708,182.17489678576584
1245,176.3274655958069,182.29931392478545,179.34666994830704,186.4590152764279,183.4357328617479,186.9553083977796,184.01387927218272,182.17489678577303
1246,176.32746559580718,182.29931392479466,179.3466699483098,186.45901527647302,183.43573286176095,186.95530839783962,184.01387927219434,182.17489678578005
1247,176.32746559580747,182.29931392480367,179.34666994831252,186.45901527651725,183.43573286177374,186.95530839789842,184.01387927220577,182.1748967857869
1248,176.32746559580775,182.29931392481248,179.34666994831517,186.45901527656056,183.43573286178622,186.95530839795606,184.0138792722169,182.1748967857936
1249,176.327465595808,182.2993139248211,179.34666994831775,186.459015276603,183.43573286179844,186.95530839801253,184.01387927222783,182.17489678580017
1250,176.32746559580826,182.2993139248295,179.34666994832028,186.45901527664455,183.4357328618104,186.95530839806787,184.0138792722385,182.17489678580662
1251,176.3274655958085,182.29931392483775,179.34666994832276,186.45901527668528,183.43573286182212,186.95530839812207,184.01387927224897,182.1748967858129
1252,176.32746559580872,182.29931392484582,179.34666994832517,186.45901527672515,183.43573286183357,186.9553083981752,184.0138792722592,182.17489678581902
1253,176.32746559580895,182.2993139248537,179.34666994832753,186.45901527676423,183.43573286184477,186.95530839822723,184.0138792722692,182.174896785825
1254,176.32746559580917,182.29931392486142,179.34666994832983,186.4590152768025,183.43573286185574,186.95530839827822,184.013879272279,182.1748967858309
1255,176.3274655958094,182.29931392486898,179.34666994833208,186.45901527684,183.43573286186648,186.95530839832819,184.01387927228856,182.17489678583667
1256,176.32746559580963,182.29931392487637,179.34666994833427,186.45901527687673,183.435732861877,186.95530839837716,184.01387927229794,182.1748967858423
