,Sterman soil,SC_SLP trf_linear  soil,SC_SLP trf_linear (constrained) soil,SC_SLP trf_huber (constrained) soil,SC_SLP dogbox_linear (constrained) soil,SC_SLP dogbox_huber (constrained) soil
47,62.99088034197061,64.87803840316916,63.654041406811665,63.84940471137214,63.65388338935416,63.84926867440193
48,63.04745713682971,64.9044259090859,63.69831623588265,63.87787702930892,63.69816051644323,63.87774277488124
49,63.10336016841786,64.93061288639097,63.74210708961174,63.90609959094425,63.74195367057738,63.90596712656165
50,63.1585712637322,64.95658332619753,63.785398871701275,63.93405544418337,63.78524775014023,63.93392477259129
51,63.213077801259004,64.98232489545761,63.82818083452298,63.96173168975306,63.82803200304841,63.96160280969324
52,63.26687163215315,65.00782822714405,63.870445726837765,63.98911869612448,63.870299174350755,63.9889916029845
53,63.31994820486505,65.03308634590387,63.912189104560355,64.016209464303,63.91204481688667,64.0160841506738
54,63.372305855163475,65.0580942034649,63.953408773570665,64.04299911403545,63.9532667340043,64.04287557018826
55,63.42394523053634,65.08284830291717,63.99410433941527,64.06948446833815,63.993964529181,64.06936268263082
56,63.47486882371389,65.10734639493374,64.03427684350153,64.09566371761092,64.03413924214719,64.09554367683342
57,63.525080594768745,65.13158723220447,64.0739284692567,64.12153614815192,64.07379305498503,64.12141783781884
58,63.574585665091305,65.15557037096306,64.1130623048681,64.1471019227715,64.11292905481663,64.14698532736936
59,63.623390069671956,65.17929601060395,64.15168215177073,64.1723619035445,64.15155104224725,64.17224700674025
60,63.671500556671845,65.20276486410143,64.18979237011646,64.19731750863887,64.18966337679659,64.1972042934551
61,63.718924425338514,65.22597805333457,64.2273977541341,64.22197059669675,64.22727085222671,64.22185904565879
62,63.765669395008906,65.24893702454764,64.26450343164592,64.24632337349065,64.26437859603124,64.2462134687497
63,63.811743499311966,65.27164348008795,64.30111478310441,64.27037831658643,64.300991988449,64.27027004002233
64,63.857155000795416,65.29409932330123,64.33723737640068,64.29413811456105,64.33711659725302,64.29403144786797
65,63.901912322103996,65.3163066140619,64.37287691441516,64.31760561798433,64.37275812528472,64.31750054274201
66,63.946023990568946,65.3382675328986,64.40803919286141,64.34078379990814,64.40792236828395,64.34068029764094
67,63.989498593663,65.35998435206626,64.4427300664444,64.36367572403881,64.4426151810357,64.36357377626454
68,64.03234474325681,65.38145941223196,64.47695542173375,64.38628451911813,64.47684245023363,64.38618410738823
69,64.07457104700397,65.40269510369701,64.51072115545979,64.40861335832105,64.51061007276796,64.4085144642537
70,64.11618608549855,65.42369385128477,64.54403315718817,64.43066544270658,64.54392393839333,64.43056804801375
71,64.15719839410596,65.4444581021902,64.57689729552929,64.45244398794338,64.57678991593264,64.45234807445283
72,64.1976164485765,65.46499031622238,64.60931940720106,64.47395221368039,64.60921384233492,64.47385776335352
73,64.23744865371945,65.48529295798025,64.64130528839395,64.49519333505411,64.64120151403667,64.49510033000037
74,64.27670333455308,65.50536849058993,64.67286068799372,64.51617055592142,64.67275868018113,64.51607897840967
75,64.31538872945602,65.52521937070364,64.70399130230203,64.53688706348558,64.70389103733639,64.5367968959532
76,64.35351298493623,65.54484804451714,64.73470277096489,64.55734602404715,64.73460422542142,64.55725724910707
77,64.3910841517061,65.56425694460991,64.76500067387407,64.57755057966271,64.76490382460577,64.5774631801088
78,64.4281101818115,65.5834484874495,64.79489052885222,64.5975038455362,64.79479535299305,64.59741780434724
79,64.46459892661059,65.6024250714319,64.82437778996844,64.61720890800096,64.82428426493536,64.61712420834364
80,64.50055813543666,65.62118907535447,64.85346784636084,64.63666882297841,64.85337594985472,64.63658544820915
81,64.53599545481114,65.63974285723795,64.88216602146613,64.65588661482032,64.88207573147191,64.65580454848651
82,64.57091842809808,65.65808875342977,64.91047757257573,64.67486527546042,64.9103888673618,64.67478450130099
83,64.60533449551207,65.67622907793404,64.93840769065311,64.69360776381467,64.93832054877014,64.69352826576007
84,64.6392509944086,65.69416612192441,64.96596150035994,64.71211700538147,64.9658759006393,64.71203876755331
85,64.67267515979901,65.71190215340373,64.9931440602486,64.73039589200243,64.9930599818004,64.73031889871277
86,64.70561412504355,65.729439416982,65.01996036308664,64.74844728175181,65.01987778529748,64.74837151750206
