,Sterman biomass,SC_OP trf_linear  biomass,SC_OP trf_linear (constrained) biomass,SC_OP trf_soft_l1 (constrained) biomass,SC_OP trf_huber (constrained) biomass,SC_OP trf_cauchy (constrained) biomass
118,156.34899154478344,157.31993153864386,157.3518144262682,156.87027659888818,157.18570278013775,156.93141256192084
119,156.81223494925453,157.81203357503398,157.84637180455522,157.346364915627,157.67427410071636,157.4122680053941
120,157.2671129040923,158.29604874605815,158.3328967520574,157.8141482376738,158.1547133202448,157.8848621516706
121,157.71375633636666,158.77209393143963,158.81150433545065,158.27375118215338,158.6271390047729,158.34931833043365
122,158.15229489220653,159.2402848780171,159.2823085006077,158.7252972342292,159.0916685816592,158.80575870918707
123,158.58285691809917,159.70073619019468,159.74542206434995,159.1689087288881,159.5484183284832,159.2543042777381
124,159.00556944380173,160.1535613213677,160.20095670709594,159.60470683409957,159.99750336301335,159.6950748339961
125,159.42055816681108,160.5988725662908,160.64902296637592,160.03281153530946,160.43903763419425,160.12818897104407
126,159.827947438338,161.03678105435517,161.08973023118168,160.45334162122774,160.87313391411905,160.5537640654392
127,160.2278602507328,161.46739674374314,161.5231867371224,160.86641467087057,161.29990379095236,160.97191626670082
128,160.62041822631014,161.89082841642792,161.94949956235726,161.27214704181702,161.71945766277014,161.38276048794364
129,161.00574160752208,162.3071836739883,162.36877462427617,161.67065385964145,162.13190473228374,161.78641039761573
130,161.38394924842865,162.71656893420734,162.781116676901,162.06204900848246,162.5373530024155,162.1829784123005
131,161.75515860741686,163.11908942842555,163.18662930897995,162.44644512271054,162.93590927269457,162.57257569054414
132,162.11948574111932,163.51484919962002,163.58541494274814,162.8239535796564,163.3276791364416,162.9553121276688
133,162.4770452994852,163.9039511011805,163.97757483332904,163.19468449336262,163.7127669787121,163.33129635153483
134,162.8279505219571,164.28649679635518,164.36320906875017,163.558746709322,164.09127597496888,163.70063571921375
135,163.1723132347076,164.6625867583389,164.74241657054958,163.91624780016676,164.46330809045435,164.06343631453677
136,163.51024384889232,165.0323202709777,165.11529509494767,164.2672940622723,164.82896408023444,164.41980294648272
137,163.84185135987454,165.3957954300636,165.48194123456148,164.6119905132417,165.18834348988645,164.76983914837115
138,164.16724334738012,165.75310914519486,165.84245042063796,164.95044089023557,165.54154465680386,165.11364717782646
139,164.4865259765406,166.10435714217692,166.19691692578402,165.28274764911453,165.88866471209178,165.4513280174805
140,164.79980399978476,166.44963396594073,166.5454338671714,165.6090119643609,166.22979958302696,165.78298137638077
141,165.10718075953855,166.7890329839546,166.88809321019494,165.92933372974753,166.56504399605825,166.1087056920738
142,165.40875819169622,167.12264639010772,167.22498577256377,166.24381155972242,166.89449148032193,166.42859813333243
143,165.70463682982447,167.45056520904296,167.556201228805,166.55254279147772,167.21823437164946,166.7427546034973
144,165.99491581006404,167.77287930091757,167.88182811516066,166.85562348767374,167.53636381704345,167.05126974440446
145,166.27969287669356,168.08967736657144,168.2019538348583,167.153148439788,167.84896977960028,167.3542369408699
146,166.55906438832133,168.40104695308264,168.51666466373743,167.4452111720608,168.1561410438572,167.65174832570423
147,166.8331253246723,168.70707445969043,168.8260457562132,167.73190394600965,168.45796522154262,167.9438947852314
148,167.10196929393786,169.00784514406712,169.13018115156044,168.01331776548466,168.75452875770932,168.23076596528472
149,167.36568854065777,169.30344312892012,169.42915378050074,168.28954238223903,169.04591693723043,168.51245027765614
150,167.62437395410367,169.59395140890683,169.7230454720764,168.5606663019885,169.33221389163907,168.7890349069741
151,167.87811507713542,169.8794518578443,170.01193696079523,168.8267767909347,169.6135026062926,169.06060581798667
152,168.12700011550197,170.1600252361976,170.29590789403102,169.087959882728,169.8898649278434,169.32724776322715
153,168.3711159475596,170.43575119883076,170.57503683966442,169.34430038584637,170.16138157199887,169.5890442910402
154,168.6105481343812,170.70670830300358,170.84940129395022,169.5958818913671,170.42813213155307,169.84607775394747
155,168.8453809302313,170.97297401660063,171.11907768959665,169.84278678110914,170.69019508467397,170.09842931733138
156,169.07569729338206,171.2346247265765,171.38414140404353,170.0850962361245,170.94764780343021,170.34617896841843
157,169.30157889724697,171.4917357476039,171.64466676792617,170.32289024551778,171.2005665625419,170.58940552554154
158,169.52310614180942,171.74438133091053,171.90072707371206,170.55624761557345,171.44902654834064,170.82818664766367
159,169.74035816532393,171.99263467329172,172.1523945844987,170.78524597917158,171.6931018679243,171.06259884414465
160,169.9534128562694,172.2365679262858,172.3997405429604,171.00996180547278,171.93286555849267,171.29271748473397
161,170.16234686553364,172.47625220550037,172.64283518043294,171.23047040985418,172.168389596851,171.51861680977285
162,170.36723561880976,172.71175760007694,172.88174772612498,171.44684596407882,172.39974490906755,171.74036994058937
163,170.56815332918623,172.94315318228323,173.11654641644586,171.6591615066811,172.62700138027375,171.95804889007184
164,170.7651730099116,173.17050701722144,173.34729850443927,171.8674889535522,172.85022786459436,172.17172457340487
165,170.9583664873173,173.39388617264242,173.5740702693136,172.0718991087095,173.0694921951963,172.38146681895432
166,171.147804413882,173.61335672885514,173.79692702605897,172.27246167523438,173.28486119444472,172.5873443792872
167,171.3335562814212,173.82898378872184,174.01593313514192,172.46924526636423,173.49640068415636,172.78942494231336
168,171.51569043438695,174.0408314877295,174.23115201226955,172.66231741672377,173.7041754959389,172.98777514253635
169,171.6942740832636,174.24896300412826,174.44264613821423,172.85174459368298,173.90824948160724,173.1824605724013
170,171.869373318045,174.45344056912842,174.65047706869086,173.03759220882762,174.10868552366688,173.37354579372814
171,172.04105312178035,174.65432547714738,174.85470544427923,173.21992462953054,174.3055455458553,173.56109434921888
