,Sterman biomass,SC_OH trf_linear  biomass,SC_OH trf_linear (constrained) biomass,SC_OH trf_soft_l1 (constrained) biomass,SC_OH trf_huber (constrained) biomass,SC_OH dogbox_huber (constrained) biomass
118,179.5292688743572,173.85555131955135,177.06571485762902,176.17549647137534,174.09590139920775,174.1743065599127
119,180.19166058427723,174.33422909274134,177.66267669369765,176.7382719247581,174.58270465137053,174.66313460382148
120,180.84333535805268,174.80102327119377,178.24859790308787,177.28972437428123,175.05768883103178,175.14013294655916
121,181.48443169017762,175.25617439925983,178.82364447526822,177.83003732523676,175.52108671414737,175.6055334854577
122,182.11508761572713,175.69992102415534,179.38798150867592,178.35939327288338,175.97312928910026,176.05956637153872
123,182.73544065197302,176.13249954605462,179.9417731382403,178.87797360952044,176.4140456111678,176.5024598635549
124,183.3456277428884,176.55414407896026,180.48518246708198,179.38595853692868,176.8440626669623,176.93444019193387
125,183.94578520645675,176.96508632201537,181.01837150225487,179.8835269840269,177.26340524855357,177.35573143234026
126,184.5360486847005,177.36555544091547,181.5415010944006,180.37085652959138,177.67229583697534,177.76655538856264
127,185.11655309634656,177.7557779590739,182.05473088118583,180.84812332988574,178.07095449481014,178.16713148442602
128,185.68743259204683,178.13597765818864,182.55821923439404,181.3155020510474,178.45959876754378,178.55767666442645
129,186.2488205120728,178.5063754878578,183.05212321054643,181.77316580607757,178.83844359337684,178.93840530277996
130,186.8008493464053,178.8671894838892,183.536598504927,182.22128609628248,179.20770122117926,179.30952912057688
131,187.3436506971414,179.21863469495005,184.01179940888997,182.66003275701343,179.56758113627305,179.6712571107316
132,187.8773552431417,179.5609231172047,184.47787877032926,183.08957390755572,179.91828999372885,180.02379547041744
133,188.40209270684292,179.8942636365909,184.93498795719202,183.51007590501663,180.26003155886383,180.3673475406788
134,188.91799182316265,180.2188619783885,185.38327682392094,183.9217033020651,180.59300665463064,180.70211375291396
135,189.42518031042323,180.53492066373983,185.82289368071153,184.32461880837766,180.9174131155903,181.02829158192546
136,189.92378484322484,180.84263897278535,186.2539852654741,184.71898325564663,181.23344574816636,181.3460755052388
137,190.4139310271982,181.1422129140857,186.6766967183918,185.1049555660095,181.54129629688182,181.65565696839428
138,190.89574337556957,181.43383520000611,187.09117155896888,185.48269272376075,181.84115341628666,181.95722435592293
139,191.36934528747162,181.71769522774858,187.4975516654657,185.85234975020964,182.13320264828806,182.25096296772173
140,191.83485902793603,181.99397906572293,187.8959772566206,186.21407968155054,182.4176264046036,182.5370550005506
141,192.29240570950444,182.2628694449571,188.28658687555918,186.56803354961528,182.69460395406256,182.8156795343795
142,192.74210527539663,182.52454575525542,188.6695173757968,186.91436036537937,182.9643114144892,183.0870125233213
143,193.18407648417585,182.77918404582186,189.0449039092404,187.25320710509777,183.22692174890807,183.3512267908924
144,193.6184368958528,183.02695703007444,189.41287991609963,187.58471869894814,183.48260476581916,183.6084920293517
145,194.0453028593718,183.26803409438568,189.77357711661986,187.90903802206324,183.7315271232989,183.85897480287497
146,194.46478950142333,183.50258131049412,190.12712550455154,188.22630588783724,183.9738523366904,184.1028385543298
147,194.87701071652944,183.73076145133965,190.4736533422731,188.53666104339325,184.2097407896547,184.34024361542433
148,195.28207915834957,183.95273401008586,190.8132871574881,188.84024016710356,184.43934974836222,184.5713472200105
149,195.6801062321557,184.1686552221015,191.14615174141815,189.13717786805657,184.66283337861236,184.79630352033053
150,196.07120208842784,184.3786780896816,191.47237014841716,189.4276066873682,184.88034276567683,185.0152636060037
151,196.45547561752122,184.58295240929957,191.79206369693392,189.71165710123802,185.09202593667013,185.22837552555734
152,196.83303444535926,184.78162480118814,192.10535197175307,189.98945752565436,185.29802788525913,185.435784310315
153,197.20398493010669,184.97483874105885,192.41235282744623,190.26113432265532,185.49849059853113,185.63763200046174
154,197.56843215977887,185.16273459377535,192.71318239296818,190.52681180805595,185.69355308584747,185.83405767311424
155,197.92647995074532,185.34544964880712,193.00795507733443,190.78661226055488,185.88335140951756,186.0251974722313
156,198.27823084708584,185.5231181572965,193.2967835763196,191.04065593213696,186.06801871713603,186.21118464020702
157,198.62378612075952,185.69587137058147,193.57977888011746,191.2890610596912,186.2476852754321,186.39214955099726
158,198.96324577254802,185.86383758002367,193.85705028190625,191.53194387776657,186.42247850548867,186.568219744636
159,199.29670853373574,186.02714215799955,194.12870538726457,191.76941863239108,186.5925230191944,186.73951996300568
160,199.6242718684909,186.18590759991955,194.3948501243855,192.00159759588223,186.75794065680014,186.90617218673262
161,199.94603197691222,186.34025356714776,194.65558875503845,192.22859108258,186.91885052545663,187.06829567308463
162,200.2620837987081,186.49029693070187,194.9110238862302,192.4505074654365,187.07536903861717,187.22600699475444
163,200.5725210174748,186.6361518156191,195.16125648251847,192.66745319339805,187.22760995619566,187.37942007941922
164,200.87743606554295,186.77792964588136,195.40638587893375,192.87953280952013,187.37568442537605,187.5286462499719
165,201.1769201293615,186.91573918979907,195.6465097944656,193.08684896975566,187.51970102197453,187.67379426532602
166,201.4710631553898,187.04968660575847,195.88172434607324,193.28950246236178,187.65976579226302,187.81497036170174
167,201.75995385646985,187.1798754882439,196.11212406318035,193.48759222787157,187.795982295166,187.9522782943052
168,202.043679718651,187.30640691405188,196.33780190261646,193.68121537957964,187.92845164474954,188.08581937931964
169,202.322327008441,187.42937948861922,196.55884926396897,193.87046722449324,188.0572725529252,188.21569253613126
170,202.59598078045815,187.54888939239237,196.77535600531087,194.05544128470245,188.18254137229775,188.34199432971684
171,202.86472488545996,187.66503042717056,196.98741045927147,194.23622931912539,188.30435213908822,188.46481901312634
172,203.12864197872514,187.77789406235988,197.19509944941817,194.41292134558594,188.42279661607054,188.58425856999665
173,203.38781352876575,187.88756948107954,197.39850830691933,194.58560566318465,188.53796433546248,188.70040275703786
174,203.6423198263485,187.99414362606646,197.59772088745942,194.754368874924,188.64994264171636,188.81333914643662
175,203.8922399938038,188.09770124532824,197.79281958837882,194.9192959105526,188.75881673415932,188.92315316812594
176,204.13765199460246,188.19832493749797,197.98388536601243,195.08047004959334,188.86466970943545,189.0299281518737
177,204.37863264318128,188.29609519684885,198.17099775320168,195.23797294452353,188.9675826037067,189.13374536914597
178,204.61525761499823,188.39109045792964,198.35423487695678,195.39188464407587,189.0676344345726,189.2346840747049
179,204.8476014568002,188.48338713978498,198.53367347624607,195.54228361663118,189.16490224267142,189.33282154790314
180,205.07573759708546,188.5730596897288,198.70938891989152,195.68924677367534,189.25946113292906,189.42823313364107
181,205.29973835674548,188.6601806266406,198.88145522454977,195.83284949329442,189.3513843154247,189.5209922829551
182,205.51967495986938,188.74482058375855,199.04994507275936,195.97316564368336,189.44074314584458,189.611170593208
183,205.73561754469668,188.8270483509453,199.21492983103596,196.11026760664524,189.52760716549855,189.69883784785543
184,205.94763517470386,188.9069309164047,199.3764795679982,196.24422630105917,189.61204414087587,189.784062055765
185,206.1557958498106,188.9845335078309,199.5346630725075,196.3751112062964,189.69412010271904,189.86690949006578
186,206.36016651769313,189.05991963297245,199.6895478718069,196.5029903855654,189.77389938459729,189.94744472650973
187,206.5608130851914,189.13315111959716,199.8412002496433,196.62793050916812,189.85144466096253,190.02573068132742
188,206.75780042979872,189.204288154844,199.98968526436036,196.74999687765023,189.9268169846732,190.1018286485628
189,206.95119241122188,189.27338932395236,200.1350667669482,196.86925344482972,190.0000758239727,190.17579833687378
190,207.14105188300098,189.34051164835842,200.27740741903781,196.98576284068943,190.0712790989115,190.24769790578674
